,Year,Score Range,mean,std
125,12,High (0.5-1.0),0.8062396930574756,0.10018799996971563
126,13,Low (0-0.5),0.7633265370508444,0.10679173509899906
127,13,High (0.5-1.0),0.8035882562985334,0.10263396587619542
128,14,Low (0-0.5),0.7630588233896515,0.10556325156161453
129,14,High (0.5-1.0),0.8085230356316585,0.08184547499937864
130,15,Low (0-0.5),0.7612787873121535,0.10801812309578163
131,15,High (0.5-1.0),0.8037134989369467,0.0962871697437223
132,16,Low (0-0.5),0.7612500517110133,0.10481345347254035
133,16,High (0.5-1.0),0.8035736527940388,0.0989925748975388
134,17,Low (0-0.5),0.761589196869098,0.10325768290334388
135,17,High (0.5-1.0),0.8105187712819152,0.08036522741814864
136,18,Low (0-0.5),0.7619294156436495,0.10314569287174842
137,18,High (0.5-1.0),0.8097151040931868,0.08153448815404901
138,19,Low (0-0.5),0.760454862947308,0.10476556589156608
139,19,High (0.5-1.0),0.8103733671208097,0.0837555547420246
140,20,Low (0-0.5),0.7607151107346263,0.10343571373271213
141,20,High (0.5-1.0),0.8124792467170178,0.07949595429439636
142,21,Low (0-0.5),0.7611042946351377,0.1030756840605077
143,21,High (0.5-1.0),0.8131596033862653,0.07964007983880338
144,22,Low (0-0.5),0.7592355370821063,0.10335577611268426
145,22,High (0.5-1.0),0.8137814543731164,0.0805469180409691
146,23,Low (0-0.5),0.7592998271254032,0.1012696788923393
147,23,High (0.5-1.0),0.8147168273502106,0.07987726153643464
148,24,Low (0-0.5),0.7580357153987721,0.10158580163263317
149,24,High (0.5-1.0),0.813175148461145,0.08046503814080341
150,25,Low (0-0.5),0.7577944179880138,0.10058156897196835
151,25,High (0.5-1.0),0.8114507416139745,0.08402991235229565
152,26,Low (0-0.5),0.7579014533211073,0.09993128144141972
153,26,High (0.5-1.0),0.8103151537558483,0.0806050496168005
154,27,Low (0-0.5),0.75936866953919,0.09797955052899757
155,27,High (0.5-1.0),0.8090443244979236,0.08186567759734613
156,28,Low (0-0.5),0.7577689134089293,0.0985725047085479
157,28,High (0.5-1.0),0.8058567071305737,0.0831494000133893
158,29,Low (0-0.5),0.7562890366956725,0.10074717594274367
159,29,High (0.5-1.0),0.8108949771015216,0.07305011520784285
160,30,Low (0-0.5),0.7546829231458534,0.10303375185217496
161,30,High (0.5-1.0),0.8076428295153012,0.07808280577636391
162,31,Low (0-0.5),0.7550495224532636,0.10223990468117407
163,31,High (0.5-1.0),0.8096606202308487,0.07468796733412039
164,32,Low (0-0.5),0.7557619148246625,0.10003261101520732
165,32,High (0.5-1.0),0.8101415109029994,0.07237839166855867
166,33,Low (0-0.5),0.7562268251757913,0.10024186677614169
167,33,High (0.5-1.0),0.8134549942574401,0.07014980516916508
168,34,Low (0-0.5),0.755947417206716,0.09896732802690925
169,34,High (0.5-1.0),0.8117758050701008,0.06954870553339323
170,35,Low (0-0.5),0.756697619357579,0.09743471150036946
171,35,High (0.5-1.0),0.8136865356671847,0.06666649892394515
172,36,Low (0-0.5),0.7561721340147819,0.09863294477086873
173,36,High (0.5-1.0),0.8128574016125409,0.06685103449925059
174,37,Low (0-0.5),0.7553314616744433,0.09899858834019477
175,37,High (0.5-1.0),0.812609186796265,0.06317904714853917
176,38,Low (0-0.5),0.7551443268676735,0.09792198291195903
177,38,High (0.5-1.0),0.8102341408372067,0.06156900705297024
178,39,Low (0-0.5),0.7547878823159533,0.09791327907985217
179,39,High (0.5-1.0),0.807144564069671,0.06453563314822745
180,40,Low (0-0.5),0.7533387347198153,0.09865248672988687
181,40,High (0.5-1.0),0.8055389445302594,0.05842115254879156
182,41,Low (0-0.5),0.7511966571410222,0.09884336872921919
183,41,High (0.5-1.0),0.8013007887341296,0.060743314907559076
184,42,Low (0-0.5),0.7509434855295807,0.09973525216477365
185,42,High (0.5-1.0),0.7995877547579778,0.06108106721789653
186,43,Low (0-0.5),0.7502532124251075,0.09946664862798078
187,43,High (0.5-1.0),0.7941738639030514,0.0599889234289303
188,44,Low (0-0.5),0.7489190356253375,0.1010529319197307
189,44,High (0.5-1.0),0.7882352404327586,0.06705578895241024
190,45,Low (0-0.5),0.7463245602809141,0.1046541524495712
191,45,High (0.5-1.0),0.7859696993861556,0.06738724070165415
192,46,Low (0-0.5),0.7448731144482643,0.10843403929342792
193,46,High (0.5-1.0),0.7785641302153494,0.0759046646983575
194,47,Low (0-0.5),0.7449586428855907,0.10538790105758199
195,47,High (0.5-1.0),0.7756862002800848,0.0759322981188197
196,48,Low (0-0.5),0.7454102540875979,0.10213817893474977
197,48,High (0.5-1.0),0.7784492610052665,0.05955022507031837
198,49,Low (0-0.5),0.7441141384444122,0.10090503154100106
199,49,High (0.5-1.0),0.7791496450029616,0.05698587329432005
200,50,Low (0-0.5),0.745011140303892,0.0981848126514037
201,50,High (0.5-1.0),0.7767398811577514,0.05799329571255315
